scenario,is_conflict,number_of_conflicts,places_of_conflicts,conflict_vehicles,decisions,priority_order,waiting_times
"{""vehicles_scenario"": [{""vehicle_id"": ""V1209"", ""lane"": ""6"", ""speed"": 72.70690863058527, ""distance_to_intersection"": 443.09917701562847, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V1792"", ""lane"": ""6"", ""speed"": 48.64978660840243, ""distance_to_intersection"": 201.68798236388452, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V7874"", ""lane"": ""2"", ""speed"": 71.63368757596777, ""distance_to_intersection"": 390.8734368168076, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V2276"", ""lane"": ""1"", ""speed"": 32.81548377394274, ""distance_to_intersection"": 201.11340658828115, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V9324"", ""lane"": ""6"", ""speed"": 72.11836313111218, ""distance_to_intersection"": 480.53470368082776, ""direction"": ""south"", ""destination"": ""G""}]}",yes,2,"['intersection', 'intersection']","[{'vehicle1_id': 'V1209', 'vehicle2_id': 'V2276'}, {'vehicle1_id': 'V2276', 'vehicle2_id': 'V9324'}]","['Potential conflict: Vehicle V1209 must yield to Vehicle V2276', 'Potential conflict: Vehicle V9324 must yield to Vehicle V2276']","{'V1209': 1, 'V2276': 2, 'V9324': 3, 'V1792': None, 'V7874': None}","{'V1209': 0, 'V2276': 2, 'V9324': 2, 'V1792': 0, 'V7874': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6914"", ""lane"": ""2"", ""speed"": 66.55644941887161, ""distance_to_intersection"": 380.57745987302627, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V9283"", ""lane"": ""7"", ""speed"": 32.92040933828983, ""distance_to_intersection"": 202.69121154563237, ""direction"": ""west"", ""destination"": ""D""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V6914', 'vehicle2_id': 'V9283'}]",['Potential conflict: Vehicle V9283 must yield to Vehicle V6914'],"{'V6914': 1, 'V9283': 2}","{'V6914': 0, 'V9283': 1}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V7599"", ""lane"": ""5"", ""speed"": 78.2400584884993, ""distance_to_intersection"": 386.7911542031057, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V1176"", ""lane"": ""7"", ""speed"": 75.37078843211187, ""distance_to_intersection"": 471.89036692497115, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V8121"", ""lane"": ""6"", ""speed"": 31.73500367763421, ""distance_to_intersection"": 245.79359106973118, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V9593"", ""lane"": ""6"", ""speed"": 73.03979878448845, ""distance_to_intersection"": 107.25274418519413, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V7618"", ""lane"": ""8"", ""speed"": 30.895529711032996, ""distance_to_intersection"": 437.0905046829178, ""direction"": ""west"", ""destination"": ""A""}]}",no,0,[],[],[],"{'V7599': None, 'V1176': None, 'V8121': None, 'V9593': None, 'V7618': None}","{'V7599': 0, 'V1176': 0, 'V8121': 0, 'V9593': 0, 'V7618': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V1434"", ""lane"": ""6"", ""speed"": 51.17739439530889, ""distance_to_intersection"": 85.13381242450332, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V2316"", ""lane"": ""8"", ""speed"": 49.07494065563262, ""distance_to_intersection"": 431.8017656088489, ""direction"": ""west"", ""destination"": ""B""}, {""vehicle_id"": ""V2821"", ""lane"": ""1"", ""speed"": 39.44924795260734, ""distance_to_intersection"": 276.6469879629084, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V4598"", ""lane"": ""6"", ""speed"": 42.876912727829854, ""distance_to_intersection"": 401.0721912200306, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V2942"", ""lane"": ""8"", ""speed"": 42.083844324318214, ""distance_to_intersection"": 217.56805006703757, ""direction"": ""west"", ""destination"": ""B""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V2316', 'vehicle2_id': 'V4598'}]",['Potential conflict: Vehicle V4598 must yield to Vehicle V2316'],"{'V2316': 1, 'V4598': 2, 'V1434': None, 'V2821': None, 'V2942': None}","{'V2316': 0, 'V4598': 1, 'V1434': 0, 'V2821': 0, 'V2942': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4586"", ""lane"": ""2"", ""speed"": 48.831980117800185, ""distance_to_intersection"": 390.9828505664068, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V8476"", ""lane"": ""3"", ""speed"": 73.01732935052098, ""distance_to_intersection"": 74.21765960246861, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V1014"", ""lane"": ""6"", ""speed"": 23.036546248414528, ""distance_to_intersection"": 385.7397281166402, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V1295"", ""lane"": ""2"", ""speed"": 40.27057025297282, ""distance_to_intersection"": 387.7629771019597, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V8010"", ""lane"": ""8"", ""speed"": 77.55778519971051, ""distance_to_intersection"": 497.88850533177066, ""direction"": ""west"", ""destination"": ""C""}]}",no,0,[],[],[],"{'V4586': None, 'V8476': None, 'V1014': None, 'V1295': None, 'V8010': None}","{'V4586': 0, 'V8476': 0, 'V1014': 0, 'V1295': 0, 'V8010': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4681"", ""lane"": ""6"", ""speed"": 44.80638865813707, ""distance_to_intersection"": 463.6753416605635, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V9776"", ""lane"": ""1"", ""speed"": 32.72807262873897, ""distance_to_intersection"": 352.6520079176678, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V8911"", ""lane"": ""1"", ""speed"": 63.27975065038141, ""distance_to_intersection"": 153.94849086359943, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V7133"", ""lane"": ""1"", ""speed"": 56.48240154192706, ""distance_to_intersection"": 266.8325576673176, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V6671"", ""lane"": ""3"", ""speed"": 79.50766974461533, ""distance_to_intersection"": 106.44189837347216, ""direction"": ""east"", ""destination"": ""H""}]}",yes,2,"['intersection', 'intersection']","[{'vehicle1_id': 'V4681', 'vehicle2_id': 'V9776'}, {'vehicle1_id': 'V8911', 'vehicle2_id': 'V6671'}]","['Potential conflict: Vehicle V9776 must yield to Vehicle V4681', 'Potential conflict: Vehicle V8911 must yield to Vehicle V6671']","{'V6671': 1, 'V8911': 2, 'V4681': 3, 'V9776': 4, 'V7133': None}","{'V6671': 0, 'V8911': 0, 'V4681': 0, 'V9776': 1, 'V7133': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V9199"", ""lane"": ""8"", ""speed"": 63.82475338463046, ""distance_to_intersection"": 240.6094255205505, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V9044"", ""lane"": ""3"", ""speed"": 57.28105765201326, ""distance_to_intersection"": 367.81222781927625, ""direction"": ""east"", ""destination"": ""B""}]}",no,0,[],[],[],"{'V9199': None, 'V9044': None}","{'V9199': 0, 'V9044': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4578"", ""lane"": ""3"", ""speed"": 71.91182910378149, ""distance_to_intersection"": 308.63717976203503, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V9369"", ""lane"": ""7"", ""speed"": 42.187376767999474, ""distance_to_intersection"": 63.521730758074554, ""direction"": ""west"", ""destination"": ""D""}]}",no,0,[],[],[],"{'V4578': None, 'V9369': None}","{'V4578': 0, 'V9369': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4838"", ""lane"": ""1"", ""speed"": 69.24421485034162, ""distance_to_intersection"": 204.69366520581812, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V7998"", ""lane"": ""8"", ""speed"": 52.215172629306444, ""distance_to_intersection"": 177.72428523830166, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V9280"", ""lane"": ""5"", ""speed"": 75.63490692541909, ""distance_to_intersection"": 236.74011872596412, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V2927"", ""lane"": ""4"", ""speed"": 21.844124769258993, ""distance_to_intersection"": 385.27750412269717, ""direction"": ""east"", ""destination"": ""F""}]}",yes,2,"['intersection', 'intersection']","[{'vehicle1_id': 'V4838', 'vehicle2_id': 'V7998'}, {'vehicle1_id': 'V7998', 'vehicle2_id': 'V9280'}]","['Potential conflict: Vehicle V7998 must yield to Vehicle V4838', 'Potential conflict: Vehicle V7998 must yield to Vehicle V9280']","{'V4838': 1, 'V9280': 2, 'V7998': 3, 'V2927': None}","{'V4838': 0, 'V9280': 2, 'V7998': 3, 'V2927': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6023"", ""lane"": ""2"", ""speed"": 45.30652205936775, ""distance_to_intersection"": 462.7323100648269, ""direction"": ""north"", ""destination"": ""D""}, {""vehicle_id"": ""V8340"", ""lane"": ""2"", ""speed"": 34.359296408344825, ""distance_to_intersection"": 101.23152461303116, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V4731"", ""lane"": ""3"", ""speed"": 33.043358156975835, ""distance_to_intersection"": 72.32446859858484, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V2771"", ""lane"": ""7"", ""speed"": 64.37661753545106, ""distance_to_intersection"": 398.76640123819544, ""direction"": ""west"", ""destination"": ""F""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V8340', 'vehicle2_id': 'V4731'}]",['Potential conflict: Vehicle V8340 must yield to Vehicle V4731'],"{'V4731': 1, 'V8340': 2, 'V6023': None, 'V2771': None}","{'V4731': 0, 'V8340': 0, 'V6023': 0, 'V2771': 0}"
